"Variable_name","Variable_type"
"awb1_2_ethnicity_arb_r4","haven_labelled"
"awb2_6_family_brth_n_a5","haven_labelled"
"awb3_4_talent_in_arts","haven_labelled"
"awb3_1y_save_mny_a5","haven_labelled"
"fas_total","numeric"
"fas_nas","numeric"
"fas_missing","numeric"
"fas_cat","haven_labelled"
"own_fin_total","numeric"
"own_fin_nas","numeric"
"own_fin_missing","numeric"
"food_avail_total","numeric"
"food_avail_nas","numeric"
"food_avail_missing","numeric"
"sais_total","numeric"
"sais_nas","numeric"
"sais_missing","numeric"
"sais_mean","numeric"
